"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,4.97779752412629,0.712,0.049,0,"0","CD2"
0,3.45335502330485,0.838,0.21,0,"0","PTPRC"
0,3.85014474561899,0.731,0.141,0,"0","CD52"
0,4.77181769131626,0.74,0.174,0,"0","CCL5"
0,4.63646204442595,0.6,0.062,0,"0","TRAC"
0,4.3330454836436,0.654,0.127,0,"0","ACAP1"
0,4.86302441530601,0.563,0.043,0,"0","GZMA"
0,4.93531572502178,0.555,0.037,0,"0","CD3E"
0,3.4198866520407,0.709,0.194,0,"0","HCST"
0,4.63639435525333,0.579,0.067,0,"0","TRBC2"
0,4.93810638302198,0.546,0.037,0,"0","CD3D"
0,2.81548681591542,0.718,0.214,0,"0","CORO1A"
0,3.69260541984434,0.648,0.149,0,"0","CD69"
0,3.8474162358628,0.603,0.114,0,"0","IL2RG"
0,4.96703535161612,0.561,0.081,0,"0","NKG7"
0,5.05048005006114,0.519,0.042,0,"0","CD7"
0,5.02321024324331,0.515,0.04,0,"0","CD247"
0,3.18957105923966,0.612,0.145,0,"0","CD48"
0,4.86328386756988,0.517,0.057,0,"0","CST7"
0,4.68218177363634,0.493,0.04,0,"0","LCK"
0,4.98541194780431,0.475,0.028,0,"0","CD3G"
0,3.14591571941957,0.637,0.191,0,"0","RAC2"
0,2.57027127215422,0.592,0.16,0,"0","FYB1"
0,4.94121067581053,0.467,0.038,0,"0","TRBC1"
0,4.20025989086241,0.489,0.06,0,"0","IKZF3"
0,2.38495561594351,0.635,0.217,0,"0","LCP1"
0,4.06350739334783,0.489,0.09,0,"0","LTB"
0,5.03831380778129,0.43,0.031,0,"0","PRF1"
0,4.82664633549011,0.431,0.035,0,"0","CD96"
0,1.17873511431181,0.735,0.346,0,"0","SRGN"
0,5.18055529793979,0.423,0.034,0,"0","IL2RB"
0,3.07012647589415,0.516,0.13,0,"0","GIMAP7"
0,3.75086560975385,0.498,0.113,0,"0","RUNX3"
0,4.72379115652674,0.418,0.034,0,"0","CTSW"
0,4.05356034610102,0.454,0.074,0,"0","TBC1D10C"
0,5.51062052427361,0.403,0.025,0,"0","GZMM"
0,2.57131562019025,0.555,0.18,0,"0","LSP1"
0,3.29180711213253,0.495,0.126,0,"0","CYTIP"
0,5.25731782792867,0.395,0.027,0,"0","SAMD3"
0,3.57607487703033,0.539,0.173,0,"0","CLEC2D"
0,2.26009873953721,0.542,0.179,0,"0","CD53"
0,3.58807697315342,0.746,0.383,0,"0","IL32"
0,2.1349376670792,0.539,0.181,0,"0","CD37"
0,1.27901103271466,0.591,0.238,0,"0","RGS1"
0,3.28419452705129,0.475,0.123,0,"0","IKZF1"
0,2.8665896569249,0.616,0.268,0,"0","CCL4"
0,2.95558110138202,0.617,0.272,0,"0","STK17B"
0,3.75212530348111,0.426,0.083,0,"0","TRAF3IP3"
0,4.70138129409708,0.368,0.028,0,"0","TIGIT"
0,5.20799887467592,0.364,0.025,0,"0","PYHIN1"
0,2.81019537763103,0.572,0.241,0,"0","CXCR4"
0,5.52508098771594,0.356,0.028,0,"0","KLRD1"
0,3.95755364582993,0.403,0.078,0,"0","PTPN22"
0,4.01809902450461,0.363,0.038,0,"0","GZMB"
0,2.90964281071139,0.55,0.227,0,"0","LIMD2"
0,1.67115422808702,0.736,0.417,0,"0","S100A4"
0,3.43461416584144,0.433,0.117,0,"0","PTPN7"
0,4.30331289199937,0.389,0.073,0,"0","SKAP1"
0,5.19502764440822,0.335,0.024,0,"0","GZMH"
0,1.92913983227055,0.662,0.352,0,"0","ARHGDIB"
0,2.0555646206089,0.539,0.229,0,"0","GMFG"
0,2.45675660806375,0.437,0.127,0,"0","ALOX5AP"
0,3.34670327167807,0.562,0.255,0,"0","APOBEC3G"
0,1.43228902631113,0.516,0.209,0,"0","ITGB2"
0,6.15971339720219,0.324,0.018,0,"0","KLRB1"
0,3.28519848330458,0.416,0.111,0,"0","SLA"
0,3.04336638583453,0.428,0.124,0,"0","GBP5"
0,2.98369453224762,0.722,0.418,0,"0","EVL"
0,4.44000890540678,0.361,0.058,0,"0","RASGRP1"
